equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,ranking
1. Flamengo,59,82,10,54.2,84.6,16.7,2
2. Palmeiras,64,117,5,49.6,78.9,19.5,1
3. Gremio,48,83,1,55.2,85.6,16.9,4
4. Internacional,51,96,6,50.9,81.3,20.4,3
5. Sao Paulo,46,98,6,48.1,78.9,21.6,5
6. Atletico MG,56,90,3,53.9,83.9,15.9,6
7. Bahia,39,85,4,48.9,79.9,20.7,11
8. Athletico Paranaense,54,88,5,53.6,85.5,15.8,7
9. Santos FC,46,88,3,52.1,83.7,17.6,10
10. Botafogo RJ,38,90,5,47.7,78.9,19.6,9
11. Ceara,32,91,3,46.1,80.5,17.6,15
12. Corinthians,34,76,3,53.5,84.0,16.8,13
13. Fluminense,32,87,5,50.0,81.6,16.7,12
14. Cruzeiro,34,99,2,51.1,83.1,16,8
15. Sport Recife,35,79,4,48.1,78.9,19.2,17
16. Chapecoense AF,34,74,3,47.0,77.4,20.2,14
17. America MG,30,84,8,47.9,80.4,18.3,18
18. Vasco da Gama,41,101,9,49.4,80.8,16.6,16
19. Vitoria,36,108,7,48.4,80.6,16.3,19
20. Parana Clube,18,98,9,44.3,77.1,16.8,20
